"BEDROOMS","BATHROOMS","YEAR BUILT","CITY","ZIPCODE","STREET ADDRESS","RENT","PROPERTY TYPE","TAX PAID","HOUSE VALUE"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","6207.59","284804"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","5401.25","295181"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","5694.01","307234"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","7093.08","370678"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","8674.28","432384"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","5036.68","237508"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","5020.24","230590"
"3","2","1967","Tampa","33609","810 S West Shore Blvd","3250","SINGLE_FAMILY","3234.38","151935"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1625.47","104195"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1541.62","101852"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1489.93","99953"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1489.93","151905"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1460.67","95883"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1426.29","95216"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1438.73","94460"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1414.65","93064"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1403.87","91508"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1601.25","101121"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1556.17","99627"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1502.99","97008"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1494.14","96911"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1717.57","94088"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1779.3","91793"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1768.53","89119"
"3","2","1984","Tampa","33624","5138 Nashville Dr","2600","SINGLE_FAMILY","1529.04","82198"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2781.99","172117"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2984.43","168247"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2984.43","165110"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2930.42","243890"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2889.99","158388"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2851.74","157287"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2853.39","156039"
"4","3","2000","Tampa","33626","13504 Spotted Fawn Pl","3480","SINGLE_FAMILY","2853.39","153733"
