zillow_addresses_stPete,current_price_stPete
"2 BR 2.5 BA ; Residences 808-3908 Plan, Residences 400 Central",1095000
"510 16th Ave S, Saint Petersburg, FL 33701",325000
"351 7th Ave N, Saint Petersburg, FL 33701",949000
"4219 Bayshore Blvd NE, Saint Petersburg, FL 33703",7750000
"4945 Cobia Dr SE #4945, Saint Petersburg, FL 33705",599900
"925 Arlington Ave N, Saint Petersburg, FL 33705",999000
"5060 Rena St N, Saint Petersburg, FL 33709",624500
"4720 Emerson Ave S #1/2, Saint Petersburg, FL 33711",675000
"10979 Walnut St NE, Saint Petersburg, FL 33716",43000
"4608 46th St N, Saint Petersburg, FL 33714",369000
"3301 58th Ave N #110, Saint Petersburg, FL 33714",29900
"3320 70th Ave N, Saint Petersburg, FL 33702",450000
"5925 Terrace Park Dr N UNIT 103, Saint Petersburg, FL 33709",185000
"10200 Gandy Blvd N APT 1127, Saint Petersburg, FL 33702",184950
"7801 34th Ave N LOT 65, Saint Petersburg, FL 33710",35000
"0 Starfish Dr SE #0, Saint Petersburg, FL 33705",40000
"154 Americana Ct NE #221, Saint Petersburg, FL 33702",295000
"4125 Park St N LOT 948, Saint Petersburg, FL 33709",54990
"5026 Coquina Key Dr SE #5026, Saint Petersburg, FL 33705",485000
"264 115th Ave N APT 1, Saint Petersburg, FL 33716",175000
"2508 56th Ave N, Saint Petersburg, FL 33714",465000
"4000 11th St N, Saint Petersburg, FL 33703",1700000
"2800 Central Ave #203, Saint Petersburg, FL 33712",699000
"935 13th Ave S, Saint Petersburg, FL 33705",90000
"1018 7th Ave S, Saint Petersburg, FL 33705",895000
"1298 Cordova Blvd NE, Saint Petersburg, FL 33704",3700000
"4776 66th Ln N #12, Saint Petersburg, FL 33709",20000
"424 8th St S #505, Saint Petersburg, FL 33701",606000
"2715 5th St S, Saint Petersburg, FL 33705",60000
"2560 62nd Ave N #322, Saint Petersburg, FL 33702",36900
"8186 Terrace Garden Dr N UNIT 609, Saint Petersburg, FL 33709",750000
"176 4th Ave NE #601, Saint Petersburg, FL 33701",1675000
"2560 62nd Ave N LOT 418, Saint Petersburg, FL 33702",44900
"2517 50th Ave N #11, Saint Petersburg, FL 33714",17500
"4727 31st St N, Saint Petersburg, FL 33714",450000
"777 3rd Ave N #1603, Saint Petersburg, FL 33701",2000000
"(undisclosed Address), Saint Petersburg, FL 33709",179000
"6140 Sun Blvd #7, Saint Petersburg, FL 33715",554800
"7801 34th Ave N LOT 75, Saint Petersburg, FL 33710",29500
"176 4th Ave NE #901, Saint Petersburg, FL 33701",2495000
"2 Brightwaters Cir NE, Saint Petersburg, FL 33704",6669000
"4792 Coquina Key Dr SE #4792, Saint Petersburg, FL 33705",575000
"555 5th Ave NE SUITE 414, Saint Petersburg, FL 33701",2599990
"3248 Carlisle Ave S, Saint Petersburg, FL 33712",99000
"0 26th Ave S, Saint Petersburg, FL 33711",189999
"2 BR 2.5 BA ; Residences 802-3902 Plan, Residences 400 Central",1650000
